"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 17, 2021","5,120.661","5,120.661","5,120.661","5,120.661","-","0.05%"
"Nov 16, 2021","5,117.925","5,117.925","5,117.925","5,117.925","-","1.00%"
"Nov 15, 2021","5,067.354","5,067.354","5,067.354","5,067.354","-","0.23%"
"Nov 12, 2021","5,055.732","5,055.732","5,055.732","5,055.732","-","1.44%"
"Nov 11, 2021","4,983.745","4,983.745","4,983.745","4,983.745","-","-0.07%"
"Nov 10, 2021","4,987.260","4,987.260","4,987.260","4,987.260","-","-1.02%"
"Nov 09, 2021","5,038.454","5,038.454","5,038.454","5,038.454","-","-1.56%"
"Nov 08, 2021","5,118.096","5,118.096","5,118.096","5,118.096","-","-0.38%"
"Nov 05, 2021","5,137.601","5,137.601","5,137.601","5,137.601","-","1.50%"
"Nov 04, 2021","5,061.707","5,061.707","5,061.707","5,061.707","-","0.65%"
"Nov 03, 2021","5,029.052","5,029.052","5,029.052","5,029.052","-","1.49%"
"Nov 02, 2021","4,955.309","4,955.309","4,955.309","4,955.309","-","-0.21%"
"Nov 01, 2021","4,965.565","4,965.565","4,965.565","4,965.565","-","2.08%"
"Oct 29, 2021","4,864.278","4,864.278","4,864.278","4,864.278","-","0.11%"
"Oct 28, 2021","4,858.999","4,858.999","4,858.999","4,858.999","-","1.42%"
"Oct 27, 2021","4,790.734","4,790.734","4,790.734","4,790.734","-","-0.34%"
"Oct 26, 2021","4,807.117","4,807.117","4,807.117","4,807.117","-","0.19%"
"Oct 25, 2021","4,798.096","4,798.096","4,798.096","4,798.096","-","1.38%"
"Oct 22, 2021","4,732.858","4,732.858","4,732.858","4,732.858","-","0.70%"
"Oct 21, 2021","4,700.187","4,700.187","4,700.187","4,700.187","-","0.90%"
"Oct 20, 2021","4,658.396","4,658.396","4,658.396","4,658.396","-","0.16%"
"Oct 19, 2021","4,650.760","4,650.760","4,650.760","4,650.760","-","-0.24%"
"Oct 18, 2021","4,661.799","4,661.799","4,661.799","4,661.799","-","-0.28%"
"Oct 15, 2021","4,674.796","4,674.796","4,674.796","4,674.796","-","0.91%"
"Oct 14, 2021","4,632.717","4,632.717","4,632.717","4,632.717","-","1.61%"
"Oct 13, 2021","4,559.139","4,559.139","4,559.139","4,559.139","-","1.19%"
"Oct 12, 2021","4,505.308","4,505.308","4,505.308","4,505.308","-","0.27%"
"Oct 11, 2021","4,493.119","4,493.119","4,493.119","4,493.119","-","0.23%"
"Oct 08, 2021","4,482.992","4,482.992","4,482.992","4,482.992","-","-0.45%"
"Oct 07, 2021","4,503.142","4,503.142","4,503.142","4,503.142","-","2.32%"
"Oct 06, 2021","4,401.168","4,401.168","4,401.168","4,401.168","-","-1.00%"
"Oct 05, 2021","4,445.832","4,445.832","4,445.832","4,445.832","-","0.58%"
"Oct 04, 2021","4,420.100","4,420.100","4,420.100","4,420.100","-","-0.61%"
"Oct 01, 2021","4,447.096","4,447.096","4,447.096","4,447.096","-","1.14%"
"Sep 30, 2021","4,397.159","4,397.159","4,397.159","4,397.159","-","-1.04%"
"Sep 29, 2021","4,443.521","4,443.521","4,443.521","4,443.521","-","-0.03%"
"Sep 28, 2021","4,444.972","4,444.972","4,444.972","4,444.972","-","-2.04%"
"Sep 27, 2021","4,537.347","4,537.347","4,537.347","4,537.347","-","0.13%"
"Sep 24, 2021","4,531.496","4,531.496","4,531.496","4,531.496","-","-0.70%"
"Sep 23, 2021","4,563.234","4,563.234","4,563.234","4,563.234","-","1.52%"
"Sep 22, 2021","4,495.043","4,495.043","4,495.043","4,495.043","-","1.77%"
"Sep 21, 2021","4,416.898","4,416.898","4,416.898","4,416.898","-","0.60%"
"Sep 20, 2021","4,390.657","4,390.657","4,390.657","4,390.657","-","-2.16%"
"Sep 17, 2021","4,487.551","4,487.551","4,487.551","4,487.551","-","0.05%"
"Sep 16, 2021","4,485.358","4,485.358","4,485.358","4,485.358","-","-0.46%"
"Sep 15, 2021","4,506.050","4,506.050","4,506.050","4,506.050","-","-1.59%"
"Sep 14, 2021","4,578.779","4,578.779","4,578.779","4,578.779","-","-0.91%"
"Sep 13, 2021","4,620.844","4,620.844","4,620.844","4,620.844","-","-0.11%"
"Sep 10, 2021","4,625.973","4,625.973","4,625.973","4,625.973","-","0.26%"
"Sep 09, 2021","4,613.960","4,613.960","4,613.960","4,613.960","-","0.86%"
"Sep 08, 2021","4,574.582","4,574.582","4,574.582","4,574.582","-","-1.08%"
"Sep 07, 2021","4,624.660","4,624.660","4,624.660","4,624.660","-","0.49%"
"Sep 06, 2021","4,601.951","4,601.951","4,601.951","4,601.951","-","0.57%"
"Sep 03, 2021","4,575.806","4,575.806","4,575.806","4,575.806","-","-0.91%"
"Sep 02, 2021","4,618.058","4,618.058","4,618.058","4,618.058","-","0.32%"
"Sep 01, 2021","4,603.486","4,603.486","4,603.486","4,603.486","-","1.23%"
"Aug 31, 2021","4,547.441","4,547.441","4,547.441","4,547.441","-","-0.01%"
"Aug 30, 2021","4,548.015","4,548.015","4,548.015","4,548.015","-","0.29%"
"Aug 27, 2021","4,534.874","4,534.874","4,534.874","4,534.874","-","0.83%"
"Aug 26, 2021","4,497.378","4,497.378","4,497.378","4,497.378","-","-0.82%"
"Aug 25, 2021","4,534.438","4,534.438","4,534.438","4,534.438","-","0.04%"
"Aug 24, 2021","4,532.405","4,532.405","4,532.405","4,532.405","-","0.95%"
"Aug 23, 2021","4,489.738","4,489.738","4,489.738","4,489.738","-","2.47%"
"Aug 20, 2021","4,381.427","4,381.427","4,381.427","4,381.427","-","0.41%"
"Aug 19, 2021","4,363.460","4,363.460","4,363.460","4,363.460","-","-3.66%"
"Aug 18, 2021","4,529.413","4,529.413","4,529.413","4,529.413","-","-1.26%"
"Aug 17, 2021","4,587.025","4,587.025","4,587.025","4,587.025","-","-1.98%"
"Aug 16, 2021","4,679.583","4,679.583","4,679.583","4,679.583","-","-1.70%"
"Aug 13, 2021","4,760.734","4,760.734","4,760.734","4,760.734","-","-0.12%"
"Aug 12, 2021","4,766.531","4,766.531","4,766.531","4,766.531","-","0.06%"
"Aug 11, 2021","4,763.477","4,763.477","4,763.477","4,763.477","-","0.19%"
"Aug 10, 2021","4,754.306","4,754.306","4,754.306","4,754.306","-","0.24%"
"Aug 09, 2021","4,742.910","4,742.910","4,742.910","4,742.910","-","-0.28%"
"Aug 06, 2021","4,756.362","4,756.362","4,756.362","4,756.362","-","-0.29%"
"Aug 05, 2021","4,769.997","4,769.997","4,769.997","4,769.997","-","0.72%"
