Model,Current Price,Growth 1M,Growth 3M,Predition 1M,Predition 3M
Patek Philippe 5205R,48066.0,0.05329359687951966,0.10417863132020859,44882.72,40082.97
Patek Philippe 5227G,30519.0,0.009459861740482255,0.013920265780730898,31084.73,30091.36
Patek Philippe 5396R,43848.0,-0.006930289441500204,0.04021066116290656,45900.7,47230.85
Patek Philippe 5524R,47077.0,0.04309580785252149,0.07794289377876491,44766.7,44270.8
Patek Philippe 57111A,182864.0,0.25728115288358405,0.5304347826086957,135280.7,131028.31
Patek Philippe 59801A,181731.0,0.17922147023898358,0.39402749225246236,139375.23,134100.55
Patek Philippe 59901A,251835.0,0.34933774834437087,0.6770775757010715,181767.23,210669.74
Rolex 114060,13877.0,0.0421297686993091,0.12055878552971576,12776.26,13205.31
Rolex 116500,46732.0,0.18865572936538216,0.33684240638498725,39318.24,39556.88
Rolex 116505,75381.0,0.13669401049520477,0.3436898395721925,50259.93,40624.81
Rolex 116518,53370.0,0.0343624629338915,0.20741142934708837,37713.92,36240.36
Rolex 116520,33927.0,0.08907935285053929,0.18294979079497908,31872.66,32021.25
Rolex 116610LV,30351.0,0.12715861403052697,0.32658770051138597,24632.62,25192.65
Rolex 126334,14440.0,0.029076396807297605,0.07280832095096583,13413.89,13457.28
Rolex 126710BLRO,29303.0,0.11753937683536098,0.2960767835817595,24674.24,26267.88
Rolex 126711CHNR,30439.0,0.11813540021305513,0.33721389974959365,22494.02,23652.52
Rolex 16710,16050.0,0.01685250886974151,0.09050142682429678,16425.06,17312.91
TAG Heuer CAY111B,1145.0,-0.021367521367521368,-0.018010291595197257,998.49,989.04
TAG Heuer CAZ1011,1297.0,-0.018168054504163512,0.09636517328825021,1316.82,1392.99
TAG Heuer CV2010,1782.0,0.01770416904625928,0.06134603930911257,1761.7,1631.92
TAG Heuer WAN2110,1289.0,0.05916187345932621,0.08501683501683502,1305.84,1283.55
TAG Heuer WAR201E,1578.0,0.06405933917734322,0.022020725388601035,1524.61,1531.24
TAG Heuer WAY201F,2205.0,0.02558139534883721,0.002728512960436562,2192.61,1935.63
TAG Heuer WAZ1120,1237.0,-0.009607686148919135,-0.004025764895330112,1013.72,1008.11
Vacheron Constantin 4500V110A-B128,49437.0,0.14647155678207835,0.3232955914237533,38122.34,34006.58
Vacheron Constantin 47040B01A-9093,15307.0,0.05123274500377721,0.08001128907076836,12722.33,12587.28
Vacheron Constantin 49150B01A-9097,24531.0,0.014725956566701138,0.0697745410143474,21757.34,19587.25
Vacheron Constantin 7900V110A-B334,38863.0,0.1647834557170688,0.17407329083713483,32525.1,25740.79
