Model,Number of sales (12M),Volatility,Overall Rating,Growth Rating,Liquidity Rating,Predictability Rating,Brand,Collection,Complications,Material,Dial Color,Case Diameter
IWC 500705,126,11.10%,5,13,23,24,IWC,Portugieser,Date,Steel,Silver,42 mm
IWC 500401,177,8.80%,25,41,23,23,IWC,Pilot,Date,Steel,Black,46 mm
IWC 500107,143,10.60%,18,16,35,63,IWC,Portugieser,Date,Steel,Silver,42 mm
IWC 377714,251,10.30%,55,51,52,47,IWC,Pilot,"Date, Chronograph",Steel,Blue,43 mm
TAG Heuer WAY201F,240,8.70%,82,63,86,58,TAG Heuer,Aquaracer,"Gmt, Date",Aluminum,Black,43 mm
TAG Heuer CV2010,315,30.00%,51,15,84,61,TAG Heuer,Carrera,"Date, Chronograph",Steel,Black,41 mm
TAG Heuer WAR201E,271,23.10%,59,43,81,8,TAG Heuer,Carrera,"Date, Chronograph",Steel,Black,41 mm
TAG Heuer CAZ1011,242,21.90%,90,83,72,80,TAG Heuer,Formula 1,"Date, Chronograph",Ceramic,Grey,43 mm
TAG Heuer WAN2110,109,20.60%,34,8,78,16,TAG Heuer,Aquaracer,Date,Steel,Black,41 mm
TAG Heuer WAZ1120,105,23.40%,92,90,77,70,TAG Heuer,Formula 1,Date,Steel,Blue,41 mm
TAG Heuer CAY111B,112,22.90%,59,50,76,1,TAG Heuer,Aquaracer,"Date, Chronograph",Aluminum,Blue,43 mm
A. Lange & S?hne 404.035,90,3.40%,84,71,75,93,A. Lange & S?hne,Saxonia,"Chronograph, Flyback",Platinum,Black,43 mm
A. Lange & S?hne 140.029,66,9.30%,61,72,31,86,A. Lange & S?hne,Zeitwerk,-,White gold,Black,42 mm
Cartier WSSA0009,112,58.60%,92,92,71,67,Cartier,Santos,Date,Steel,Silver,40 mm
Cartier WSSA0030,129,5.00%,87,76,77,87,Cartier,Santos,Date,Steel,Blue,40 mm
Cartier W5200026,78,8.30%,70,89,25,71,Cartier,Tank,Date,Rose gold,Silver,41 mm
