Model,Predition,%Error,,,
A. Lange & Söhne 140.029,Next 30D,3.21867763,,,
A. Lange & Söhne 140.029,Next 30D,3.758347346,,,
A. Lange & Söhne 140.029,Next 30D,3.848999749,,,
A. Lange & Söhne 140.029,Next 30D,4.004896754,,,
A. Lange & Söhne 140.029,Next 30D,4.322011705,,,
A. Lange & Söhne 140.029,Next 30D,4.535893263,,,
A. Lange & Söhne 140.029,Next 30D,4.740467381,,,
A. Lange & Söhne 140.029,Next 30D,4.92230614,,,
A. Lange & Söhne 140.029,Next 30D,5.075001375,,,
A. Lange & Söhne 140.029,Next 30D,5.280868449,,,
A. Lange & Söhne 140.029,Next 30D,5.484039669,,,
A. Lange & Söhne 140.029,Next 30D,5.661631554,,,
A. Lange & Söhne 140.029,Next 30D,5.799337977,,,
A. Lange & Söhne 140.029,Next 30D,5.891621083,,,
A. Lange & Söhne 140.029,Next 30D,5.935643478,,,
A. Lange & Söhne 140.029,Next 30D,5.87461725,,,
A. Lange & Söhne 140.029,Next 30D,5.921697568,,,
A. Lange & Söhne 140.029,Next 30D,6.419040105,,,
A. Lange & Söhne 140.029,Next 30D,6.449219365,,,
A. Lange & Söhne 140.029,Next 30D,6.45740436,,,
A. Lange & Söhne 140.029,Next 30D,6.440679042,,,
A. Lange & Söhne 140.029,Next 30D,6.401903735,,,
A. Lange & Söhne 140.029,Next 30D,6.477455155,,,
A. Lange & Söhne 140.029,Next 30D,6.484497161,,,
A. Lange & Söhne 140.029,Next 30D,6.505135471,,,
A. Lange & Söhne 140.029,Next 30D,6.517241149,,,
A. Lange & Söhne 140.029,Next 30D,6.511996141,,,
A. Lange & Söhne 140.029,Next 30D,6.482999335,,,
A. Lange & Söhne 140.029,Next 30D,6.429589543,,,
A. Lange & Söhne 140.029,Next 30D,6.356018021,,,
A. Lange & Söhne 140.029,Next 30D,6.589858201,,,
A. Lange & Söhne 140.029,Next 30D,6.577804883,,,
A. Lange & Söhne 140.029,Next 30D,6.621605157,,,
A. Lange & Söhne 140.029,Next 30D,6.674045351,,,
A. Lange & Söhne 140.029,Next 30D,6.716317823,,,
A. Lange & Söhne 140.029,Next 30D,6.740217488,,,
A. Lange & Söhne 140.029,Next 30D,6.740118247,,,
A. Lange & Söhne 140.029,Next 30D,6.801952469,,,
A. Lange & Söhne 140.029,Next 30D,6.870302704,,,
A. Lange & Söhne 140.029,Next 30D,6.92302626,,,
A. Lange & Söhne 140.029,Next 30D,6.951549161,,,
A. Lange & Söhne 140.029,Next 30D,6.953069128,,,
