Date,Price,Open,High,Low,Change %
05-Oct-20,"3,231.11","3,231.11","3,231.11","3,231.11",1.65%
02-Oct-20,"3,178.67","3,178.67","3,178.67","3,178.67",-0.89%
01-Oct-20,"3,207.22","3,207.22","3,207.22","3,207.22",1.47%
30-Sep-20,"3,160.73","3,160.73","3,160.73","3,160.73",0.06%
29-Sep-20,"3,158.96","3,158.96","3,158.96","3,158.96",0.03%
28-Sep-20,"3,157.94","3,157.94","3,157.94","3,157.94",2.20%
25-Sep-20,"3,090.11","3,090.11","3,090.11","3,090.11",0.37%
24-Sep-20,"3,078.69","3,078.69","3,078.69","3,078.69",-0.54%
23-Sep-20,"3,095.47","3,095.47","3,095.47","3,095.47",-0.38%
22-Sep-20,"3,107.42","3,107.42","3,107.42","3,107.42",-0.36%
21-Sep-20,"3,118.64","3,118.64","3,118.64","3,118.64",-3.17%
18-Sep-20,"3,220.82","3,220.82","3,220.82","3,220.82",-0.95%
17-Sep-20,"3,251.83","3,251.83","3,251.83","3,251.83",-1.33%
16-Sep-20,"3,295.81","3,295.81","3,295.81","3,295.81",0.11%
15-Sep-20,"3,292.23","3,292.23","3,292.23","3,292.23",0.68%
14-Sep-20,"3,270.09","3,270.09","3,270.09","3,270.09",1.91%
11-Sep-20,"3,208.81","3,208.81","3,208.81","3,208.81",0.64%
10-Sep-20,"3,188.51","3,188.51","3,188.51","3,188.51",0.74%
09-Sep-20,"3,165.12","3,165.12","3,165.12","3,165.12",0.40%
08-Sep-20,"3,152.41","3,152.41","3,152.41","3,152.41",-2.05%
07-Sep-20,"3,218.29","3,218.29","3,218.29","3,218.29",0.83%
04-Sep-20,"3,191.68","3,191.68","3,191.68","3,191.68",-0.52%
03-Sep-20,"3,208.50","3,208.50","3,208.50","3,208.50",-1.19%
02-Sep-20,"3,247.11","3,247.11","3,247.11","3,247.11",0.74%
01-Sep-20,"3,223.30","3,223.30","3,223.30","3,223.30",0.06%
31-Aug-20,"3,221.48","3,221.48","3,221.48","3,221.48",0.48%
28-Aug-20,"3,206.03","3,206.03","3,206.03","3,206.03",0.99%
27-Aug-20,"3,174.47","3,174.47","3,174.47","3,174.47",0.09%
